category,keyword,competition,intents,trend
same_terms,window treatment oklahoma city,0,,
related_keywords,window blinds okc,71,,"October 2024 : 140, November 2024 : 110, December 2024 : 170, January 2025 : 140, February 2025 : 170, March 2025 : 170, April 2025 : 110, May 2025 : 210, June 2025 : 260, July 2025 : 170, August 2025 : 140, September 2025 : 210"
related_keywords,custom blinds okc,71,,"October 2024 : 140, November 2024 : 110, December 2024 : 170, January 2025 : 140, February 2025 : 170, March 2025 : 170, April 2025 : 110, May 2025 : 210, June 2025 : 260, July 2025 : 170, August 2025 : 140, September 2025 : 210"
related_keywords,window shades okc,71,,"October 2024 : 140, November 2024 : 110, December 2024 : 170, January 2025 : 140, February 2025 : 170, March 2025 : 170, April 2025 : 110, May 2025 : 210, June 2025 : 260, July 2025 : 170, August 2025 : 140, September 2025 : 210"
related_keywords,plantation shutters okc,85,,"October 2024 : 70, November 2024 : 50, December 2024 : 40, January 2025 : 70, February 2025 : 50, March 2025 : 50, April 2025 : 70, May 2025 : 50, June 2025 : 90, July 2025 : 50, August 2025 : 40, September 2025 : 40"
related_keywords,custom drapes okc,100,,"October 2024 : 20, November 2024 : 20, December 2024 : 20, January 2025 : 20, February 2025 : 10, March 2025 : 20, April 2025 : 20, May 2025 : 20, June 2025 : 20, July 2025 : 20, August 2025 : 10, September 2025 : 10"
related_keywords,custom curtains okc,100,,"October 2024 : 20, November 2024 : 20, December 2024 : 20, January 2025 : 20, February 2025 : 10, March 2025 : 20, April 2025 : 20, May 2025 : 20, June 2025 : 20, July 2025 : 20, August 2025 : 10, September 2025 : 10"
related_keywords,motorized blinds okc,100,,"October 2024 : 10, November 2024 : 10, December 2024 : 10, January 2025 : 10, February 2025 : 10, March 2025 : 10, April 2025 : 10, May 2025 : 10, June 2025 : 10, July 2025 : 10, August 2025 : 10, September 2025 : 10"
related_keywords,roller shades okc,100,,"October 2024 : 10, November 2024 : 10, January 2025 : 10, March 2025 : 10, April 2025 : 10, May 2025 : 10, June 2025 : 10, August 2025 : 10, September 2025 : 10"
related_keywords,roman shades okc,100,,"October 2024 : 10, November 2024 : 10, December 2024 : 10, January 2025 : 10, February 2025 : 10, March 2025 : 10, April 2025 : 10, May 2025 : 10, June 2025 : 10, July 2025 : 10, August 2025 : 10, September 2025 : 10"
related_keywords,shady lady blinds okc,86,,"October 2024 : 10, November 2024 : 10, December 2024 : 10, January 2025 : 10, February 2025 : 10, March 2025 : 10, April 2025 : 10, June 2025 : 10, July 2025 : 10, August 2025 : 10, September 2025 : 10"
related_keywords,window coverings okc,100,,"October 2024 : 10, November 2024 : 10, December 2024 : 10, January 2025 : 10, February 2025 : 10, March 2025 : 10, May 2025 : 10, July 2025 : 10, August 2025 : 10, September 2025 : 10"
also_rank_for_keywords,curtain store near me,99,,"October 2024 : 18100, November 2024 : 18100, December 2024 : 14800, January 2025 : 18100, February 2025 : 18100, March 2025 : 18100, April 2025 : 14800, May 2025 : 14800, June 2025 : 12100, July 2025 : 12100, August 2025 : 14800, September 2025 : 14800"
also_rank_for_keywords,blinds oklahoma city,100,,"October 2024 : 140, November 2024 : 140, December 2024 : 110, January 2025 : 170, February 2025 : 140, March 2025 : 170, April 2025 : 170, May 2025 : 110, June 2025 : 210, July 2025 : 260, August 2025 : 170, September 2025 : 140"
also_rank_for_keywords,blinds okc,100,,"October 2024 : 140, November 2024 : 140, December 2024 : 110, January 2025 : 170, February 2025 : 140, March 2025 : 170, April 2025 : 170, May 2025 : 110, June 2025 : 210, July 2025 : 260, August 2025 : 170, September 2025 : 140"
also_rank_for_keywords,window blinds okc,71,,"October 2024 : 140, November 2024 : 110, December 2024 : 170, January 2025 : 140, February 2025 : 170, March 2025 : 170, April 2025 : 110, May 2025 : 210, June 2025 : 260, July 2025 : 170, August 2025 : 140, September 2025 : 210"
also_rank_for_keywords,plantation shutters okc,85,,"October 2024 : 70, November 2024 : 50, December 2024 : 40, January 2025 : 70, February 2025 : 50, March 2025 : 50, April 2025 : 70, May 2025 : 50, June 2025 : 90, July 2025 : 50, August 2025 : 40, September 2025 : 40"
also_rank_for_keywords,window treatments okc,98,,"October 2024 : 20, November 2024 : 10, December 2024 : 20, January 2025 : 30, February 2025 : 20, March 2025 : 30, April 2025 : 20, May 2025 : 10, June 2025 : 20, July 2025 : 70, August 2025 : 20, September 2025 : 20"
also_rank_for_keywords,blind outlet near me,100,,"October 2024 : 30, November 2024 : 20, December 2024 : 10, January 2025 : 20, February 2025 : 30, March 2025 : 30, April 2025 : 10, May 2025 : 20, June 2025 : 10, July 2025 : 10, August 2025 : 30, September 2025 : 20"
also_rank_for_keywords,custom drapes oklahoma city,50,,"October 2024 : 20, November 2024 : 30, December 2024 : 10, January 2025 : 10, February 2025 : 10, March 2025 : 20, April 2025 : 10, May 2025 : 10, June 2025 : 10, July 2025 : 10, August 2025 : 10, September 2025 : 10"
